"colonna1","colonna2"
"Epigenetic Manipulation of Psychiatric Behavioral Disorders Induced by Toxoplasma gondii","Erythrocyte-Plasmodium interactions: genetic manipulation of the erythroid lineage"
"Epigenetic changes induced by parasitic worms and their excretory-secretory products","Equal partnership:: two trematode species, not one, manipulate the burrowing behaviour of the New Zealand cockle, Austrovenus stutchburyi"
"Entamoeba histolytica rhomboid protease 1 has a role in migration and motility as validated by two independent genetic approaches","Epigenetic Manipulation of Psychiatric Behavioral Disorders Induced by Toxoplasma gondii"
"Enriched rearing environment enhances fitness-related traits of salmonid fishes facing multiple biological interactions","Epigenetic changes induced by parasitic worms and their excretory-secretory products"
"Enhanced Survival of Plasmodium-Infected Mosquitoes during Starvation","Entamoeba histolytica rhomboid protease 1 has a role in migration and motility as validated by two independent genetic approaches"
"Enhanced polarotaxis can explain water-entry behaviour of mantids infected with nematomorph parasites","Enriched rearing environment enhances fitness-related traits of salmonid fishes facing multiple biological interactions"
"Enhanced inducible nitric oxide synthase expression and nitrotyrosine accumulation in experimental granulomatous hepatitis caused by Toxocara canis in mice","Enhanced Survival of Plasmodium-Infected Mosquitoes during Starvation"
"Enhanced heat tolerance of viral-infected aphids leads to niche expansion and reduced interspecific competition","Enhanced polarotaxis can explain water-entry behaviour of mantids infected with nematomorph parasites"
"Enhanced Attraction of Arthropod Vectors to Infected Vertebrates: A Review of Empirical Evidence","Enhanced inducible nitric oxide synthase expression and nitrotyrosine accumulation in experimental granulomatous hepatitis caused by Toxocara canis in mice"
"Engineering mosquito resistance to malaria parasites: the avian malaria model","Enhanced heat tolerance of viral-infected aphids leads to niche expansion and reduced interspecific competition"
"Engineered single nucleotide polymorphisms in the mosquito MEK docking site alter Plasmodium berghei development in Anopheles gambiae","Enhanced Attraction of Arthropod Vectors to Infected Vertebrates: A Review of Empirical Evidence"
"Endure your parasites: Sleepy Lizard (Tiliqua rugosa) movement is not affected by their ectoparasites","Engineering mosquito resistance to malaria parasites: the avian malaria model"
"Endosymbionts: An overlooked threat in the conservation of freshwater mussels?","Engineered single nucleotide polymorphisms in the mosquito MEK docking site alter Plasmodium berghei development in Anopheles gambiae"
"Endosymbiont costs and benefits in a parasitoid infected with both Wolbachia and Cardinium","Endure your parasites: Sleepy Lizard (Tiliqua rugosa) movement is not affected by their ectoparasites"
"Endoparasites of marsupials in fragments of the Atlantic rainforest, western Parana State, Brazil","Endosymbionts: An overlooked threat in the conservation of freshwater mussels?"
"Endocrine host-parasite relationships in the tobacco hornworm","Endosymbiont costs and benefits in a parasitoid infected with both Wolbachia and Cardinium"
"Endocrine regulation of egg rejection in an avian brood parasite host","Endoparasites of marsupials in fragments of the Atlantic rainforest, western Parana State, Brazil"
"Encephalitozoon cuniculi and Vittaforma corneae (Phylum Microsporidia) inhibit staurosporine-induced apoptosis in human THP-1 macrophages in vitro","Endocrine regulation of egg rejection in an avian brood parasite host"
"Embryonic development and egg viability of wMel-infected Aedes aegypti","Endocrine host-parasite relationships in the tobacco hornworm"
"Elucidating mechanisms of invasion success: Effects of parasite removal on growth and survival rates of invasive and native frogs","Encephalitozoon cuniculi and Vittaforma corneae (Phylum Microsporidia) inhibit staurosporine-induced apoptosis in human THP-1 macrophages in vitro"
"Elizabethkingia anophelis: Molecular Manipulation and Interactions with Mosquito Hosts","Embryonic development and egg viability of wMel-infected Aedes aegypti"
"Elevated reproductive effort increases blood parasitaemia and decreases immune function in birds: a meta-regression approach","Elucidating mechanisms of invasion success: Effects of parasite removal on growth and survival rates of invasive and native frogs"
"Elevated nest temperature has opposing effects on host species infested with parasitic nest flies","Elizabethkingia anophelis: Molecular Manipulation and Interactions with Mosquito Hosts"
"Electrotarsogram responses to synthetic odorants by Varroa destructor, a primary parasite of western honey bees (Apis mellifera)","Elevated reproductive effort increases blood parasitaemia and decreases immune function in birds: a meta-regression approach"
"Egress of Plasmodium berghei gametes from their host erythrocyte is mediated by the MDV-1/PEG3 protein","Elevated nest temperature has opposing effects on host species infested with parasitic nest flies"
"Egg Rejection and Nest Sanitation in an Island Population of Barn Swallows (Hirundo rustica): Probability, Response Latency, and Sex Effects","Electrotarsogram responses to synthetic odorants by Varroa destructor, a primary parasite of western honey bees (Apis mellifera)"
"Egg recognition and interspecific brood parasitism rates in red bishops","Egress of Plasmodium berghei gametes from their host erythrocyte is mediated by the MDV-1/PEG3 protein"
"Efficacy of diatomaceous earth at reducing populations of nest-dwelling ectoparasites in Tree Swallows","Egg Rejection and Nest Sanitation in an Island Population of Barn Swallows (Hirundo rustica): Probability, Response Latency, and Sex Effects"
"Effects of Toxoplasma gondii genotype and absence of host MAL/Myd88 on the temporal regulation of gene expression in infected microglial cells","Egg recognition and interspecific brood parasitism rates in red bishops"
"Effects of Schistocephalus solidus infection on brain monoaminergic activity in female three-spined sticklebacks Gasterosteus aculeatus","Efficacy of diatomaceous earth at reducing populations of nest-dwelling ectoparasites in Tree Swallows"
"Effects of parasite concentrations on infection dynamics and proliferative kidney disease pathogenesis in brown trout (Salmo trutta)","Effects of Visceralising Leishmania on the Spleen, Liver, and Bone Marrow: A Pathophysiological Perspective"
"Effects of Microphallus papillorobustus (Platyhelminthes: Trematoda) on serotonergic immunoreactivity and neuronal architecture in the brain of Gammarus insensibilis (Crustacea: Amphipoda)","Effects of trematode double infection on the shell size and distribution of snail hosts"
"Effects of Cymatocarpus solearis (Trematoda: Brachycoeliidae) on its second intermediate host, the Caribbean spiny lobster Panulirus argus","Effects of Toxoplasma gondii genotype and absence of host MAL/Myd88 on the temporal regulation of gene expression in infected microglial cells"
"Effects of Visceralising Leishmania on the Spleen, Liver, and Bone Marrow: A Pathophysiological Perspective","Effects of the trematode Maritrema novaezealandensis on the behaviour of its amphipod host:: adaptive or not?"
"Effects of trematode double infection on the shell size and distribution of snail hosts","Effects of the parasite Eimeria arizonensis on survival of deer mice (Peromyscus maniculatus)"
"Effects of the parasite Eimeria arizonensis on survival of deer mice (Peromyscus maniculatus)","Effects of the infection with Trypanosoma cruzi on the feeding and excretion/defecation patterns of Triatoma infestans"
"Effects of the trematode Maritrema novaezealandensis on the behaviour of its amphipod host:: adaptive or not?","Effects of the cranial parasite Tylodelphys sp. on the behavior and physiology of puye Galaxias maculatus (Jenyns, 1842)"
"Effects of the infection with Trypanosoma cruzi on the feeding and excretion/defecation patterns of Triatoma infestans","Effects of temperature and a manipulative parasite on the swimming behaviour of Gammarus pulex in flowing water"
"Effects of the cranial parasite Tylodelphys sp. on the behavior and physiology of puye Galaxias maculatus (Jenyns, 1842)","Effects of short-term exposure to naturally occurring thymol concentrations on transmission of a bumble bee parasite"
"Effects of temperature and a manipulative parasite on the swimming behaviour of Gammarus pulex in flowing water","Effects of Schistocephalus solidus infection on brain monoaminergic activity in female three-spined sticklebacks Gasterosteus aculeatus"
"Effects of short-term exposure to naturally occurring thymol concentrations on transmission of a bumble bee parasite","Effects of parasitism on aphid nutritional and protective symbioses"
"Effects of parasitism on aphid nutritional and protective symbioses","Effects of parasitism on antipredatory responses and defensive behaviors in the subterranean rodent Ctenomys talarum"
"Effects of parasitism on antipredatory responses and defensive behaviors in the subterranean rodent Ctenomys talarum","Effects of parasites on their hosts: from individuals to ecosystems"
"Effects of parasites on their hosts: from individuals to ecosystems","Effects of parasites on fish behaviour: a review and evolutionary perspective"
"Effects of parasites on fish behaviour: a review and evolutionary perspective","Effects of parasite concentrations on infection dynamics and proliferative kidney disease pathogenesis in brown trout (Salmo trutta)"
"Effects of malaria infection on mosquito olfaction and behavior: extrapolating data to the field","Effects of Microphallus papillorobustus (Platyhelminthes: Trematoda) on serotonergic immunoreactivity and neuronal architecture in the brain of Gammarus insensibilis (Crustacea: Amphipoda)"
"Effects of experimental variation in temperature on larval densities of parasitic Protocalliphora (Diptera: calliphoridae) in nests of tree swallows (Passeriformes: Hirundinidae)","Effects of malaria infection on mosquito olfaction and behavior: extrapolating data to the field"
"Effects of Cu/Zn Superoxide Dismutase (sod1) Genotype and Genetic Background on Growth, Reproduction and Defense in Biomphalaria glabrata","Effects of experimental variation in temperature on larval densities of parasitic Protocalliphora (Diptera: calliphoridae) in nests of tree swallows (Passeriformes: Hirundinidae)"
"Effect of Triaenophorus crassus (Cestoda) infection on behavior and susceptibility to predation of the first intermediate host Cyclops strenuus (Copepoda)","Effects of Cymatocarpus solearis (Trematoda: Brachycoeliidae) on its second intermediate host, the Caribbean spiny lobster Panulirus argus"
"Effect of parasite-induced behavioral alterations on juvenile development","Effects of Cu/Zn Superoxide Dismutase (sod1) Genotype and Genetic Background on Growth, Reproduction and Defense in Biomphalaria glabrata"
"Effect of Paranosema locustae (Microsporidia) on the behavioural phases of Locusta migratoria (Orthoptera: Acrididae) in the laboratory","Effect of water temperature manipulation on a thermal unit predictive model for Loma salmonae"
"Effect of water temperature manipulation on a thermal unit predictive model for Loma salmonae","Effect of two helminth parasites on the open-field behaviour of albino mice"
"Effect of two helminth parasites on the open-field behaviour of albino mice","Effect of Triaenophorus crassus (Cestoda) infection on behavior and susceptibility to predation of the first intermediate host Cyclops strenuus (Copepoda)"
"Effect of the cestode macroparasite Schistocephalus pungitii on the reproductive success of ninespine stickleback, Pungitius pungitius","Effect of the cestode macroparasite Schistocephalus pungitii on the reproductive success of ninespine stickleback, Pungitius pungitius"
"Effect of an anti-malaria drug on behavioural performance on a problem-solving task: An experiment in wild great tits","Effect of parasite-induced behavioral alterations on juvenile development"
"Effect of acanthocephalan parasites on hiding behaviour in two species of shore crabs","Effect of Paranosema locustae (Microsporidia) on the behavioural phases of Locusta migratoria (Orthoptera: Acrididae) in the laboratory"
"Editorial: Host Manipulation by Parasites","Effect of an anti-malaria drug on behavioural performance on a problem-solving task: An experiment in wild great tits"
"Editorial: Host Attractiveness and Malaria Transmission to Mosquitoes","Effect of acanthocephalan parasites on hiding behaviour in two species of shore crabs"
"Editorial: Tissue Remodeling in Health and Disease Caused by Bacteria, Parasites, Fungi, and Viruses","Editorial: Tissue Remodeling in Health and Disease Caused by Bacteria, Parasites, Fungi, and Viruses"
"Ectoparasitism in marsh tits:: costs and functional explanations","Editorial: Host Manipulation by Parasites"
"Ectoparasites modify escape behaviour, but not performance, in a coral reef fish","Editorial: Host Attractiveness and Malaria Transmission to Mosquitoes"
"ECTOPARASITES INCREASE THE COST OF REPRODUCTION IN THEIR HOSTS","Ectoparasitism in marsh tits:: costs and functional explanations"
"Ectoparasites exposure affects early growth and mouth colour in nestlings of a cavity-nesting raptor","Ectoparasites modify escape behaviour, but not performance, in a coral reef fish"
"Ectoparasites and age-dependent survival in a desert rodent","ECTOPARASITES INCREASE THE COST OF REPRODUCTION IN THEIR HOSTS"
"Ectoparasite reproductive performance when host condition varies","Ectoparasites exposure affects early growth and mouth colour in nestlings of a cavity-nesting raptor"
"ECTOPARASITE IMPACTS ON GERBILLUS-ANDERSONI-ALLENBYI UNDER NATURAL CONDITIONS","Ectoparasites and age-dependent survival in a desert rodent"
"Ecto- and endoparasitic nematodes respond differently across sites to changes in precipitation","Ectoparasite reproductive performance when host condition varies"
"Ecomorphology and disease: cryptic effects of parasitism on host habitat use, thermoregulation, and predator avoidance","ECTOPARASITE IMPACTS ON GERBILLUS-ANDERSONI-ALLENBYI UNDER NATURAL CONDITIONS"
"Ecology of reef fish parasites at Moorea island, French Polynesia","Ecto- and endoparasitic nematodes respond differently across sites to changes in precipitation"
"Ecology of parasitically modified populations: a case study from a gammarid-trematode system","Ecomorphology and disease: cryptic effects of parasitism on host habitat use, thermoregulation, and predator avoidance"
"Ecology of insect nucleopolyhedroviruses","Ecology of reef fish parasites at Moorea island, French Polynesia"
"Ecology in the service of biological control: The case of entomopathogenic nematodes","Ecology of parasitically modified populations: a case study from a gammarid-trematode system"
"Ecological Immunology of a Tapeworms' Interaction with its Two Consecutive Hosts","Ecology of insect nucleopolyhedroviruses"
"Ecological Genomics of Host Behavior Manipulation by Parasites","Ecology in the service of biological control: The case of entomopathogenic nematodes"
"Ecological determinants of prevalence of the male-killing bacterium Arsenophonus nasoniae","Ecological Immunology of a Tapeworms' Interaction with its Two Consecutive Hosts"
"Ecological consequences of host manipulation by parasites","Ecological Genomics of Host Behavior Manipulation by Parasites"
"Ecological consequences of manipulative parasites","Ecological consequences of manipulative parasites"
"Eco-evolutionary implications of helminth microbiomes","Ecological consequences of host manipulation by parasites"
"Echinococcus multilocularis as an experimental model in stem cell research and molecular host-parasite interaction","Eco-evolutionary implications of helminth microbiomes"
"Early nest emergence of females parasitised by Strepsiptera in protandrous bees (Hymenoptera Andrenidae)","Echinococcus multilocularis as an experimental model in stem cell research and molecular host-parasite interaction"
"EARLY ENHANCED GROWTH OF THE DIGESTIVE GLAND OF BIOMPHALARIA-GLABRATA INFECTED WITH SCHISTOSOMA-MANSONI - SIDE-EFFECT OR PARASITE MANIPULATION","Early nest emergence of females parasitised by Strepsiptera in protandrous bees (Hymenoptera Andrenidae)"
"Dysphagia Secondary to Spirocerca lupi in a German Shepherd Dog","EARLY ENHANCED GROWTH OF THE DIGESTIVE GLAND OF BIOMPHALARIA-GLABRATA INFECTED WITH SCHISTOSOMA-MANSONI - SIDE-EFFECT OR PARASITE MANIPULATION"
"Dynamic methylation of histone H3K18 in differentiating Theileria parasites","Dysphagia Secondary to Spirocerca lupi in a German Shepherd Dog"
"Dual metabolomic profiling uncovers Toxoplasma manipulation of the host metabolome and the discovery of a novel parasite metabolic capability","Dynamic methylation of histone H3K18 in differentiating Theileria parasites"
"Dual localization of receptor-type adenylate cyclases and cAMP response protein 3 unveils the presence of two putative signaling microdomains in Trypanosoma cruzi","Dual metabolomic profiling uncovers Toxoplasma manipulation of the host metabolome and the discovery of a novel parasite metabolic capability"
"Drosophila-Parasitoid Communities as Model Systems for Host-Wolbachia Interactions","Dual localization of receptor-type adenylate cyclases and cAMP response protein 3 unveils the presence of two putative signaling microdomains in Trypanosoma cruzi"
"Does Plasmodium Infection Affect Mosquito Attraction?","Drosophila-Parasitoid Communities as Model Systems for Host-Wolbachia Interactions"
"Does Trypanosoma cruzi (Chagas, 1909) (Kinetoplastida: Trypanosomatidae) modify the antennal phenotype of Triatoma dimidiata (Latreille, 1811) (Hemiptera: Triatominae)?","Does Trypanosoma cruzi (Chagas, 1909) (Kinetoplastida: Trypanosomatidae) modify the antennal phenotype of Triatoma dimidiata (Latreille, 1811) (Hemiptera: Triatominae)?"
"Does the solitary parasitoid Microplitis pennatulae use a combinatorial approach to manipulate its host?","Does the solitary parasitoid Microplitis pennatulae use a combinatorial approach to manipulate its host?"
"Does the carotenoid-based colouration of Polymorphus minutus facilitate its trophic transmission to definitive hosts?","Does the carotenoid-based colouration of Polymorphus minutus facilitate its trophic transmission to definitive hosts?"
"Does HIV infection increase male sexual behavior?","Does Plasmodium Infection Affect Mosquito Attraction?"
"Does a bacterial infection lead to a nutritional deficiency in foraging Allenby's gerbils?","Does HIV infection increase male sexual behavior?"
"Do Leucochloridium sporocysts manipulate the behaviour of their snail hosts?","Does a bacterial infection lead to a nutritional deficiency in foraging Allenby's gerbils?"
"Do zombie ant fungi turn their hosts into light seekers?","Do zombie ant fungi turn their hosts into light seekers?"
"Do parasites affect burrowing depth and habitat choice of sand hoppers, Talorchestia quoyana (Amphipoda: Talitridae)?","Do parasites affect burrowing depth and habitat choice of sand hoppers, Talorchestia quoyana (Amphipoda: Talitridae)?"
"Do malaria parasites manipulate mosquitoes?","Do malaria parasites manipulate mosquitoes?"
"Do individual Activity Patterns of Brown Trout (Salmo trutta) alter the Exposure to Parasitic Freshwater Pearl Mussel (Margaritifera margaritifera) Larvae?","Do Leucochloridium sporocysts manipulate the behaviour of their snail hosts?"
"Do hairworms (Nematomorpha) manipulate the water seeking behaviour of their terrestrial hosts?","Do individual Activity Patterns of Brown Trout (Salmo trutta) alter the Exposure to Parasitic Freshwater Pearl Mussel (Margaritifera margaritifera) Larvae?"
"Do distantly related parasites rely on the same proximate factors to alter the behaviour of their hosts?","Do hairworms (Nematomorpha) manipulate the water seeking behaviour of their terrestrial hosts?"
"Do different parasite species interact in their effects on host fitness? A case study on parasites of the amphipod Paracalliope fluviatilis","Do distantly related parasites rely on the same proximate factors to alter the behaviour of their hosts?"
"Do developing malaria parasites manipulate their mosquito host? Evidence from infected Anopheles funestus (Giles) from Mozambique","Do different parasite species interact in their effects on host fitness? A case study on parasites of the amphipod Paracalliope fluviatilis"
"Do brain parasites alter host personality? - Experimental study in minnows","Do developing malaria parasites manipulate their mosquito host? Evidence from infected Anopheles funestus (Giles) from Mozambique"
"Do avian ticks (Ixodes hirsti) influence host phenotype in New Holland honeyeaters (Phylidonyris novaehollandiae)?","Do brain parasites alter host personality? - Experimental study in minnows"
"DNA helicase RecQ1 regulates mutually exclusive expression of virulence genes in Plasmodium falciparum via heterochromatin alteration","Do avian ticks (Ixodes hirsti) influence host phenotype in New Holland honeyeaters (Phylidonyris novaehollandiae)?"
"DNA gyrase, topoisomerase IV, and the 4-quinolones","DNA helicase RecQ1 regulates mutually exclusive expression of virulence genes in Plasmodium falciparum via heterochromatin alteration"
"Dividing up the bill: Interactions between how parasitoids manipulate host behaviour and who pays the cost","DNA gyrase, topoisomerase IV, and the 4-quinolones"
"Diversity of trematodes from the amphibian anomaly P hotspot: Role of planorbid snails","Dividing up the bill: Interactions between how parasitoids manipulate host behaviour and who pays the cost"
"Diversity of trematode genetic clones within amphipods and the timing of same-clone infections","Diversity of trematodes from the amphibian anomaly P hotspot: Role of planorbid snails"
"Diversity and evolution of bodyguard manipulation","Diversity of trematode genetic clones within amphipods and the timing of same-clone infections"
"Diverse mechanisms evolved by DNA viruses to inhibit early host defenses","Diversity and evolution of bodyguard manipulation"
"Divergence in host-parasite interactions during the cane toad's invasion of Australia","Diverse mechanisms evolved by DNA viruses to inhibit early host defenses"
"Disentangling the Taxonomy, Systematics, and Life History of the Spider-Parasitic Fungus Gibellula (Cordycipitaceae, Hypocreales)","Divergence in host-parasite interactions during the cane toad's invasion of Australia"
"Disentangling a Holobiont - Recent Advances and Perspectives in Nasonia Wasps","Disentangling the Taxonomy, Systematics, and Life History of the Spider-Parasitic Fungus Gibellula (Cordycipitaceae, Hypocreales)"
"Disease Ecology Meets Ecosystem Science","Disentangling a Holobiont - Recent Advances and Perspectives in Nasonia Wasps"
"Disease and the Extended Phenotype: Parasites Control Host Performance and Survival through Induced Changes in Body Plan","Disease Ecology Meets Ecosystem Science"
"Discovery of Druggable Host Factors Critical to Plasmodium Liver-Stage Infection","Disease and the Extended Phenotype: Parasites Control Host Performance and Survival through Induced Changes in Body Plan"
"Discovery of a tyrosine-rich sporocyst wall protein in Eimeria tenella","Discovery of Druggable Host Factors Critical to Plasmodium Liver-Stage Infection"
"Direct manipulation of insect reproduction by agents of parasite origin","Discovery of a tyrosine-rich sporocyst wall protein in Eimeria tenella"
"Direct and indirect pathways of fitness-impact in a protozoan-infected kissing bug","Direct manipulation of insect reproduction by agents of parasite origin"
"Direct and indirect effects of fire on parasites in an African savanna","Direct and indirect pathways of fitness-impact in a protozoan-infected kissing bug"
"Diminished adherence of Biomphalaria glabrata embryonic cell line to sporocysts of Schistosoma mansoni following programmed knockout of the allograft inflammatory factor","Direct and indirect effects of fire on parasites in an African savanna"
"Digenean larvae-the cause and beneficiaries of the changes in host snails' thermal behavior","Diminished adherence of Biomphalaria glabrata embryonic cell line to sporocysts of Schistosoma mansoni following programmed knockout of the allograft inflammatory factor"
"Differential, Positional-Dependent Transcriptional Response of Antigenic Variation (var) Genes to Biological Stress in Plasmodium falciparum","Digenean larvae-the cause and beneficiaries of the changes in host snails' thermal behavior"
"Differential parasite (Trematoda) encapsulation in Gammarus aequicauda (Amphipoda)","Differential, Positional-Dependent Transcriptional Response of Antigenic Variation (var) Genes to Biological Stress in Plasmodium falciparum"
"Differential proteomic analysis of midguts from Nosema ceranae-infected honeybees reveals manipulation of key host functions","Differential proteomics reveals novel insights into Nosema-honey bee interactions"
"Differential patterns of definitive host use by two fish acanthocephalans occurring in sympatry: Pomphorhynchus laevis and Pomphorhynchus tereticollis","Differential proteomic analysis of midguts from Nosema ceranae-infected honeybees reveals manipulation of key host functions"
"Differential influence of Pomphorhynchus laevis (Acanthocephala) on brain serotonergic activity in two congeneric host species","Differential patterns of definitive host use by two fish acanthocephalans occurring in sympatry: Pomphorhynchus laevis and Pomphorhynchus tereticollis"
"Differential influence of two acanthocephalan parasites on the antipredator behaviour of their common intermediate host","Differential parasite (Trematoda) encapsulation in Gammarus aequicauda (Amphipoda)"
"Differential apoptosis in BeWo cells after infection with highly (RH) or moderately (ME49) virulent strains of Toxoplasma gondii is related to the cytokine profile secreted, the death receptor Fas expression and phosphorylated ERK1/2 expression","Differential influence of two acanthocephalan parasites on the antipredator behaviour of their common intermediate host"
"Different underlying mechanisms drive associations between multiple parasites and the same sexual signal","Differential influence of Pomphorhynchus laevis (Acanthocephala) on brain serotonergic activity in two congeneric host species"
"Differences in adult egg output of Schistocephalus solidus from singly- and multiply-infected sticklebacks","Differential apoptosis in BeWo cells after infection with highly (RH) or moderately (ME49) virulent strains of Toxoplasma gondii is related to the cytokine profile secreted, the death receptor Fas expression and phosphorylated ERK1/2 expression"
"Differences between populations in host manipulation by the tapeworm Schistocephalus solidus - is there local adaptation?","Different underlying mechanisms drive associations between multiple parasites and the same sexual signal"
"Development-related effects of an acanthocephalan parasite on pairing success of its intermediate host","Differences in adult egg output of Schistocephalus solidus from singly- and multiply-infected sticklebacks"
"Developmental immune activation programs adult behavior: insight from research on birds","Differences between populations in host manipulation by the tapeworm Schistocephalus solidus - is there local adaptation?"
"Development of Functional Genomic Tools in Trematodes: RNA Interference and Luciferase Reporter Gene Activity in Fasciola hepatica","Development-related effects of an acanthocephalan parasite on pairing success of its intermediate host"
"DEVELOPMENT OF AN IN-VITRO MODEL OF TOXOPLASMA-GONDII CYST FORMATION","Developmental immune activation programs adult behavior: insight from research on birds"
"Development of a bsd-blasticidin selection system in Plasmodium berghei","Development of Functional Genomic Tools in Trematodes: RNA Interference and Luciferase Reporter Gene Activity in Fasciola hepatica"
"Development of a novel electroporation method for the oyster parasite Perkinsus marinus","DEVELOPMENT OF AN IN-VITRO MODEL OF TOXOPLASMA-GONDII CYST FORMATION"
"Development of a denaturing high-performance liquid chromatography method for detection of protist parasites of metazoans","Development of a novel electroporation method for the oyster parasite Perkinsus marinus"
"Development and applications of Ray's fluid thioglycollate media for detection and manipulation of Perkinsus spp. pathogens of marine molluscs","Development of a denaturing high-performance liquid chromatography method for detection of protist parasites of metazoans"
"Development and application of a delayed-release anthelmintic intra-ruminal bolus system for experimental manipulation of nematode worm burdens","Development of a bsd-blasticidin selection system in Plasmodium berghei"
"Determination of Chemical Inhibitor Efficiency against Intracellular Toxoplasma Gondii Growth Using a Luciferase-Based Growth Assay","Development and applications of Ray's fluid thioglycollate media for detection and manipulation of Perkinsus spp. pathogens of marine molluscs"
"Deterioration of basic components of the anti-predator behavior in fish harboring eye fluke larvae","Development and application of a delayed-release anthelmintic intra-ruminal bolus system for experimental manipulation of nematode worm burdens"
"Detection of a novel parasite kinase activity at the Toxoplasma gondii parasitophorous vacuole membrane capable of phosphorylating host IκBα","Determination of Chemical Inhibitor Efficiency against Intracellular Toxoplasma Gondii Growth Using a Luciferase-Based Growth Assay"
"Detection and characterization of an albumin-like protein in Leishmania donovani","Deterioration of basic components of the anti-predator behavior in fish harboring eye fluke larvae"
"Description of Ganymedes yurii sp n. (Ganymedidae), a New Gregarine Species from the Antarctic Amphipod Gondogeneia sp (Crustacea)","Detection of a novel parasite kinase activity at the Toxoplasma gondii parasitophorous vacuole membrane capable of phosphorylating host IκBα"
"Density-dependent effects on parasite growth and parasite-induced host immunodepression in the larval helminth Pomphorhynchus laevis","Detection and characterization of an albumin-like protein in Leishmania donovani"
"Density- and trait-mediated effects of a parasite and a predator in a tri-trophic food web","Description of Ganymedes yurii sp n. (Ganymedidae), a New Gregarine Species from the Antarctic Amphipod Gondogeneia sp (Crustacea)"
"Dengue infection modulates locomotion and host seeking inAedes aegypti","Density-dependent effects on parasite growth and parasite-induced host immunodepression in the larval helminth Pomphorhynchus laevis"
"Deluded zombies: induced behavioral modification in a cobweb spider does not increase the survival of its parasitoid wasp","Density- and trait-mediated effects of a parasite and a predator in a tri-trophic food web"
"Defensive adaptations to cuckoo parasitism in the black-browed reed warbler (Acrocephalus bistrigiceps): recognition and mechanism","Dengue infection modulates locomotion and host seeking inAedes aegypti"
"DECREASED METABOLIC RATE IN THE MOLE CRABS, EMERITA ANALOGA, INFECTED WITH THE ACANTHOCEPHALAN PROFILICOLLIS ALTMANI","Deluded zombies: induced behavioral modification in a cobweb spider does not increase the survival of its parasitoid wasp"
"Decrease of psychomotor performance in subjects with latent 'asymptomatic' toxoplasmosis","Defensive adaptations to cuckoo parasitism in the black-browed reed warbler (Acrocephalus bistrigiceps): recognition and mechanism"
"Decrease of memory retention in a parasitic wasp: an effect of host manipulation by Wolbachia?","DECREASED METABOLIC RATE IN THE MOLE CRABS, EMERITA ANALOGA, INFECTED WITH THE ACANTHOCEPHALAN PROFILICOLLIS ALTMANI"
"Decoding caspase signaling in host immunity to the protozoan Trypanosoma cruzi","Decrease of psychomotor performance in subjects with latent 'asymptomatic' toxoplasmosis"
"Deciphering the behaviour manipulation imposed by a virus on its parasitoid host: insights from a dual transcriptomic approach","Decrease of memory retention in a parasitic wasp: an effect of host manipulation by Wolbachia?"
"Deceptive chemical signals induced by a plant virus attract insect vectors to inferior hosts","Decoding caspase signaling in host immunity to the protozoan Trypanosoma cruzi"
"Deception and manipulation: the arms of Leishmania, a successful parasite","Deciphering the behaviour manipulation imposed by a virus on its parasitoid host: insights from a dual transcriptomic approach"
"DC-SIGN mediates binding of dendritic cells to authentic pseudo-LewisY glycolipids of Schistosoma mansoni cercariae, the first parasite-specific ligand of DC-SIGN","Deceptive chemical signals induced by a plant virus attract insect vectors to inferior hosts"
"Daily rhythms and enrichment patterns in the transcriptome of the behavior-manipulating parasite Ophiocordyceps kimflemingiae","Deception and manipulation: the arms of Leishmania, a successful parasite"
"Cytoplasmic incompatibility in the parasitic wasp Encarsia inaron: disentangling the roles of Cardinium and Wolbachia symbionts","DC-SIGN mediates binding of dendritic cells to authentic pseudo-LewisY glycolipids of Schistosoma mansoni cercariae, the first parasite-specific ligand of DC-SIGN"
"Cytometric analysis, genetic manipulation and antibiotic selection of the snail embryonic cell line Bge from Biomphalaria glabrata, the intermediate host of Schistosoma mansoni","Daily rhythms and enrichment patterns in the transcriptome of the behavior-manipulating parasite Ophiocordyceps kimflemingiae"
"CYTOKINE-MEDIATED REGULATION OF CHRONIC INTESTINAL HELMINTH INFECTION","Cytoplasmic incompatibility in the parasitic wasp Encarsia inaron: disentangling the roles of Cardinium and Wolbachia symbionts"
"Cysteine proteases as potential antigens in antiparasitic DNA vaccines","Cytometric analysis, genetic manipulation and antibiotic selection of the snail embryonic cell line Bge from Biomphalaria glabrata, the intermediate host of Schistosoma mansoni"
"Cysteine and Aspartyl Proteases Contribute to Protein Digestion in the Gut of Freshwater Planaria","CYTOKINE-MEDIATED REGULATION OF CHRONIC INTESTINAL HELMINTH INFECTION"
"Cuticular hydrocarbon profiles in velvet ants (Hymenoptera: Mutillidae) are highly complex and do not chemically mimic their hosts","Cysteine proteases as potential antigens in antiparasitic DNA vaccines"
"Culture for genetic manipulation of developmental stages of Schistosoma mansoni","Cysteine and Aspartyl Proteases Contribute to Protein Digestion in the Gut of Freshwater Planaria"
"Cuckoo wasps manipulate foraging and resting activities in their hosts","Cuticular hydrocarbon profiles in velvet ants (Hymenoptera: Mutillidae) are highly complex and do not chemically mimic their hosts"
"Cryptosporidium: Host-Parasite Interactions and Pathogenesis","Culture for genetic manipulation of developmental stages of Schistosoma mansoni"
